sdistri,nfhs4d_pc1,nfhs5d_pc1
1,0.13556248705130095,2.01322159556059
2,0.7490622103670586,2.485562170048054
3,1.2398680956261672,2.299270852170199
4,0.32348403209272647,1.7351579588160084
5,-0.13203396392983774,1.6810008532289864
6,-0.5586135380493161,1.4456912269101676
7,1.0978947422614853,3.339600028218459
8,1.4951008189615647,1.9337517783987939
9,0.25235900473441353,1.7575934857234432
10,2.6303724893949045,3.741302006920186
11,0.910836635259896,1.95186014186631
12,1.9562896068066797,3.026131451460487
13,0.8998834887748258,3.0348964862550174
14,1.1471992357277778,2.8792400452550044
15,0.6526180565618872,1.7053569568348466
16,-0.8298243399193409,1.4240733460602297
17,-1.3381558939203138,0.2483509373436787
18,-0.9370108771062706,1.2702757944821337
19,-0.2592862573781976,1.7799131899692495
20,-0.7142444453905443,0.8611632022931831
21,2.68966104813795,4.109414815144625
22,1.5283716310165718,3.198177453511222
23,1.6622108810821339,2.3653860717670616
24,1.9525215939266343,3.5225079397604038
25,1.9483111571773304,2.6351497939834876
26,1.5909589459796227,2.950922355887398
27,2.3253460605322185,3.511817459284575
28,3.1196087190455097,3.782557418732236
29,2.5353216549455784,3.3576004411166562
30,2.0128130772851884,2.8761716970259386
31,2.3379291396443604,3.2557520736732797
32,1.9293505524669272,2.7718986682865956
33,3.1352433222361684,4.10827108137138
34,2.4800312792159493,2.7015279705259707
35,2.6771694015701275,3.749531551338783
36,3.3532948441052937,3.5607015517455145
37,3.929943388663686,3.759337754670032
38,3.2420214218033836,4.191201443293243
39,2.6567368401059226,3.0089974331432945
40,3.4401207389091826,3.607850820032828
41,3.51108405084209,3.5167714434149597
42,2.3643684032267647,2.4649122027512465
43,0.7763078545820332,2.1343229419477443
44,2.3994457399273994,2.226290508678331
45,2.600879965452624,2.4802724631254347
46,2.6413549941934122,2.252038401932843
47,1.3050411675971803,1.6484347048257086
48,3.2260366323536123,3.2007696266614243
49,2.728523357935065,3.2596504555829013
50,2.193044449138299,1.8936451109056591
51,3.5412152302451125,3.547226160282628
52,3.25257182837438,3.6503647305204723
53,2.7213615268330895,3.8035006892828975
54,2.3240724134362356,2.8788930811722526
56,0.3615002794799432,2.4925863063049856
57,1.708069205578157,3.2088527300246414
58,1.859520355508556,2.8726298679049407
59,1.6559389366185335,2.2587925705131857
60,3.4075413221997053,3.9709320709466414
61,1.2072030723382663,2.011643900727658
62,0.7535503824297167,2.773029109633974
63,0.9906088759874164,2.643538763283317
64,1.123322612032331,2.8136402581515965
65,0.5236601580650171,2.5169693372621604
66,1.9723477003985377,2.7588762420819446
67,0.7801319589540969,1.9498395990843587
68,1.846305302607895,3.1235920346174324
69,3.494202060184532,3.4101262961371064
70,3.5957943674998583,3.3802707117806072
71,2.686860726642209,3.155435943580279
72,2.539426652034406,2.8262106490729737
73,1.4325454796179202,2.2267832661202385
74,2.3924808533530966,2.924136142458109
75,2.6534732179313756,2.861339352428344
76,2.168599751246284,3.029757270990932
77,1.694762879195352,2.263264895942305
78,1.4109253140456859,1.8410635394958617
79,1.2562778325881458,1.7959497629189207
80,1.5183164135906349,2.2184649053406007
81,1.0191424055447047,2.2681438800968317
82,1.6453061774337587,3.097073730938657
83,2.2858557263136965,3.331224095854966
84,1.5772810668408794,2.0915946483643246
85,1.387320556997091,3.1122602532798904
86,1.844627887897629,3.1705780721750743
87,-2.40747767742268,-1.1353399686494297
88,2.13419945773151,3.2236783624571066
89,-0.08278136693949711,0.9931797761378961
90,2.2410090167570997,2.874072882214363
91,2.9033612197940504,3.8658019847053606
92,2.8848317348117956,3.895821043759456
93,3.379045928873768,3.76938130657307
94,2.9706431117674974,3.7474220761530255
95,3.118501819381177,3.398115274727061
96,3.480202635675894,3.3536620961253716
97,2.0279322448998855,3.9871907596373584
98,2.594186559809597,4.081809498589744
99,0.721072724899695,1.8322514716765799
100,-0.23764490153403092,1.6009809310871619
101,-0.44098021939988896,0.8589870958216799
102,-0.4095645876039932,0.9822838828334354
103,0.9452460140428128,2.2324522712067885
104,-1.0883929499140599,0.5574342325222779
105,-1.8337971055048572,0.07041394803228496
106,-1.4539272991115397,0.10272106734693609
107,-2.4773347166292354,-0.5954225468923953
108,-2.53304284153347,-0.07643093460148037
109,-1.3774806815216734,0.39874091752124435
110,0.8189690441673313,2.2111025944471585
111,0.3869091545640896,2.0669012118900434
112,-1.313500883050493,1.1989040656704888
113,-0.6624323963415323,1.3530129563552855
114,-3.167829393561038,0.27013145265442207
115,-3.784309059392546,0.9397891286558215
116,-2.2394937369735968,0.6796448237850355
117,-1.7556145281307918,0.47385655946061117
118,-0.6205327350990385,2.2073851755344047
119,0.3547612400345478,1.811329445435668
120,-1.7564934594147068,-0.2815631366227178
121,-1.8157288676920014,-0.19691853138697107
122,-2.0333919070351936,-0.3701384217941815
123,-1.6862013702589254,1.001408748145969
124,-1.8830259946113452,0.8350510335413677
125,-2.7892294232159056,-0.564068547878517
126,-2.2294545258366814,-0.2547601974041187
127,0.9774233537902501,2.668358327213374
128,-1.5967889475212274,0.22378168560369566
129,-1.6798881800817633,-0.27217747921692764
130,-2.2440765686189836,0.6677349417911105
131,-3.167756204137033,-0.7058574624089001
132,0.5512703598414959,1.8810403474560708
133,-0.1990904858449273,1.6679245114653256
134,0.33974619477976875,1.7219417665854275
135,-1.0881635331959891,0.7757110190899692
136,-0.8783170525569216,0.7191701957475066
137,-0.5273468597244649,1.0273172613857835
138,1.5689241576219568,2.599576853710213
139,1.0299752213961773,2.160447250633469
140,1.648064220518516,2.8537622864351606
141,1.7387893923928814,2.612523318867576
142,-0.41777480815351836,1.4769642414998303
143,-0.6026517637293256,1.0791224039519263
144,-0.5905322330853361,0.7077540016031142
145,-0.3034888054569699,0.7775839399150625
146,0.17467457202176545,1.2392846546375982
147,-0.4487986309550217,1.166140602749524
148,-0.290221326806526,1.2377245995174482
149,-2.7946917354130165,-0.6634786684428354
150,-0.8426278750618604,0.5537841381235914
151,-1.8204688017453172,0.3485080211475377
152,-2.350391560543461,-0.12225807848828192
153,-3.515117109822378,-0.13311559414759416
154,-3.5382558867639196,-1.1408478581715968
155,-2.4199413785525334,-0.9336672517818125
156,-1.7051130193755457,0.09295937134578884
157,2.4518380937724746,2.722735964513528
158,-1.7123559508043564,0.3049705774275915
159,-1.4350106032796435,0.6269836264392836
160,-1.43355332774783,0.7064591815671126
161,-0.08137872597239752,1.7680139153434618
162,-0.4784326017691324,1.2973607334520976
163,-1.6258550764208928,0.9589116028029564
164,2.349755524401897,2.7031264721531403
165,0.23268630507177546,1.0891563928912604
166,0.15425077305384044,1.100589864388301
167,-2.5389969992324404,-1.0972753440815786
168,-0.675968375348582,1.0976031043723817
169,-2.98588106052626,0.8004121447426581
170,-1.5815604033931294,-0.39145433921858075
171,-2.689301173187652,-0.2871772886153392
172,-1.8795295984438158,0.2914226108514496
173,-1.0308708571519645,1.1623127952845091
174,-2.902469945773791,-0.20761661956776453
175,-0.21072846975341775,1.162675177052009
176,-2.241804200523261,-0.32181683907496095
177,-1.3766859928711117,1.4996474520853655
178,-0.6111326320083084,1.696916575531412
179,-1.8407586984145168,0.816230385651337
180,-4.455535059739496,-2.1825459188651486
181,-5.712374718724043,-2.375551488672683
182,-4.442632823270947,-1.574731347716174
183,-3.9413099332387964,-0.16624559869699168
184,-3.1914932710122903,-1.2007386022880924
185,-1.792615994353937,1.0674576583710305
186,-2.2111928509146104,0.8497148130893347
187,-1.7518872994510377,0.2689003809190602
188,-0.40443503562499733,1.6089716710609383
189,-2.4376696023241258,0.8454775679338379
190,-0.8680250828672004,1.8994112270747772
191,0.03290737751614803,1.7532547638350704
192,-0.35286437474118243,1.9679505763804073
193,-1.0572300686285356,1.4334321355825452
194,-0.724677414993807,1.9079328203616932
195,-1.2594419807304573,1.3071761267922122
196,-1.2310124697026916,1.2142907403635372
197,0.6674654824304984,2.732462685653057
198,-1.2232798006037673,1.1517843905715426
199,-1.7870511481158795,1.177468087356149
200,-2.5449459782775006,0.06796339664861624
201,-1.470028293859555,0.5152809756801866
202,-2.3891199512442447,-0.1116903532996365
203,-3.6841799166384708,-1.2791771127236464
204,-3.9169528149969515,-1.323258653195928
205,-3.7747067180641896,-0.8142468086360798
206,-4.46517293128937,-1.2981397879902579
207,-3.595296248726226,-0.9320762383254141
208,-4.418787181836698,-2.2834074335400687
209,-4.395143417011909,-2.440956464162319
210,-3.7474119807244777,-1.660983477394158
211,-3.827460697542718,-2.260065992253869
212,-4.149883663579096,-2.030072583189911
213,-4.575864019878981,-2.1671432628956264
214,-3.622132688553834,-2.0011195044975207
215,-3.1472493783793656,-1.0995378993326987
216,-2.0919017951356182,-0.004199102620376621
217,-2.188226485640559,0.15019530729266442
218,-1.9414499083424976,0.6043190880203166
219,-2.1372695626544225,-0.2067135850393969
220,-2.345020250926333,-0.40526878361296026
221,-3.7708046998747013,-1.147924609845092
222,-3.017960429922732,-0.29073650864583744
223,-3.452824801523406,-0.8886356313779333
224,-1.7273011693890037,0.03543007289592203
225,-4.0878894953959835,-1.5174631800470886
226,-1.7368787763388907,0.9359652034527959
227,-2.216957511520829,-0.9309851152745653
228,-2.4856932170441124,-0.8206333339642609
229,-2.371081950035328,-0.6168354468069163
230,0.16870870403194094,1.1266328436687278
231,-2.034454057228451,-0.0390127332515027
232,-1.7640160028714131,0.2277537203691904
233,-2.0230899335940435,-0.019352755822714902
234,-1.509486855879489,1.152432586632385
235,-2.040487096307771,0.2259420116103537
236,-2.8661587304514695,-0.7797241138415838
237,-3.0286163745007233,-0.36956190367373726
238,-4.211470717919275,-1.7460467162693536
239,-1.9799250426953554,-0.5642313871283409
240,-2.8778646678184745,-0.5585825860729737
241,2.2383709498038153,2.119575099021563
242,2.069204415397196,2.560460285510219
243,2.470408119117296,2.928699797263478
244,2.6527317893186075,3.445744143838331
245,-0.2286621822659095,2.012388664198213
246,0.4926809187766952,2.6760411025669653
247,-2.2628185223268487,0.24069671475361362
248,2.2007374618595215,2.2250751661660133
249,-0.2914655538461786,0.1513417769105572
250,1.7199854865903552,2.084649239356451
251,2.339805810400297,2.407254183510428
252,0.7228190679527499,1.4680882280159917
253,-0.7753330699794473,0.951601999124577
254,-0.2761945564818733,1.2098413884199273
255,1.7086551688483582,2.1555068181137784
256,-0.7378827612054797,1.3255086491700325
257,1.270182044377582,1.5221014045358021
258,-0.14817790740718217,2.290726276841405
259,-0.6688182002409077,0.8514615030419777
260,-0.47995598426609426,0.4822266547483567
261,-0.6379804350149471,1.0547171658045422
262,2.811092985052266,3.1942543004229758
263,1.2937859045823377,1.90799981529729
264,1.5055184523261267,2.53114733416763
265,1.5372048213695773,3.1773684437520893
266,0.6056369627466738,2.0157966028724283
267,0.3954335067248749,1.0837624634588836
268,-0.8270933312960795,0.8663984786216038
269,0.20018393508188517,0.2262519112343931
270,2.4074886068300643,3.9012788412948605
271,-0.2493538505006104,1.484622428959938
272,-0.3296676225853602,1.5491848159577593
273,-0.9384658175907689,0.36606955430647264
274,0.765999039469287,1.685382740468613
275,0.6462599399916984,1.757584679267424
276,0.3205716506686406,1.7372419143001159
277,2.3264521945430476,3.0198116944241127
278,1.285430058681921,2.377758637344115
279,-0.17022570156578082,1.3657507716695252
280,-0.14996375152426278,1.5552699420644145
281,0.4429577439222774,2.9265385215489768
282,2.7094671216829576,3.5983356191151037
283,3.9561063599103115,4.5408351776641505
284,2.40096695205899,3.8509120579748104
285,3.221016105916735,3.845047151533529
286,2.1794830591609755,3.560266353784466
287,0.021843333546949385,1.398648439480192
288,2.711276438904889,3.603021771392545
289,1.106074223620265,0.6757962148897062
290,0.28983151475625657,0.09680075093271795
291,-1.1281321168945975,-0.5278663099115306
292,-0.6763699517216768,-0.016335413943787316
293,-0.18931327911699225,1.8098999336875672
294,-1.0959162522429486,1.5525387749852075
295,1.8950882970850746,1.7923951417426076
296,0.08734607414985082,0.4132676547565901
297,-0.7948876682645236,1.0537613406269888
298,2.0311163250729214,2.3531469981350956
299,-0.11423698725925574,0.17388368224148146
300,-2.037253771706204,0.38869151838541965
301,-1.9543442885635502,-0.711312902742908
302,-1.5099140683965098,0.11836629628162898
303,-1.6658502827789223,0.25487489759159304
304,-1.4451004885685665,0.13368635571068344
305,-0.7340523727087483,0.5686785920261717
306,-0.7455361615674835,0.46543590724305484
307,-0.4453335748111509,1.1589190634332573
308,-1.3779011630912892,1.040460273005413
309,-1.203206325812137,0.7479070729428777
310,-0.4991006744225197,1.2825542208558212
311,-0.144781706366359,1.3007618269377197
312,0.36260217848073933,1.423227515384181
313,-0.23403511952278183,0.9527316227289991
314,-2.074658813737342,0.343945039599567
315,-0.7839847492001994,1.7841378758269837
316,-1.2079489109023198,-0.41288143662747845
317,-1.6071535604979577,-0.039670250298893234
318,-2.2455561167038853,-0.2624969778538407
319,-1.1835403659620076,0.6650858941530733
320,-2.177938445307647,0.6619382179155107
321,0.04999710548704939,1.5338234613661204
322,1.991066675793236,2.476868423879788
323,0.18912118632763975,1.5617195957130585
324,-0.6972832626342715,0.7845228734250688
325,-1.4979594961982954,0.011729939312775273
326,-1.1534324252033785,0.2596533280500055
327,0.9050819091797414,1.942007558849191
328,-0.9173053451273535,1.1484698100366524
329,-1.0013223223581909,0.16757187842562055
330,-2.0398337389344903,-0.031138281606379728
331,-1.0804782048085564,0.19291758281236165
332,-1.5844087206624897,-0.23420524050180022
333,-1.132908130544621,-0.5961072449445922
334,-1.626332942863464,-0.531041474292354
335,-0.08455784785487329,0.3856472785276528
336,-0.040058373978011014,0.41341031853584903
337,1.1187341252790168,1.7826122418697283
338,0.18820470203409356,1.018684617120841
339,-1.2412967767402183,-0.7994726884344088
340,-3.136185236516751,-1.37525565816078
341,0.91510600772119,1.5398777593816655
342,2.0308454899258086,2.8860705828231334
343,-0.9625073764148094,0.8468394618716099
344,-1.206687917344812,-0.9685653909049147
345,-0.1437304886816957,-0.5159841419890288
346,-4.180826926694276,-0.5766022324870465
347,-4.117961483261872,-0.9010544173348951
348,-1.8509027750690774,-0.32750157186900575
349,-2.927863107441071,-0.8806630048750979
350,-2.657495085640996,-1.6693638630590393
351,-3.795500571627911,-1.6904453558500243
352,-3.0190308899092706,-1.8284183427798375
353,-3.5269256484178246,-2.276680988449058
354,-0.9038954391192807,0.7164064840297107
355,-0.89284170276756,1.0129635253096527
356,-1.7834194619448311,0.5954716872984483
357,0.3463089708274545,1.6970259057646406
358,-2.4933058424763965,-0.26124399857876945
359,-3.4741558854260455,-1.169071677881933
360,-1.4052657507308903,0.2154512556217184
361,-0.3536822073109885,0.7886417808005014
362,-3.427873427739356,-1.676054251371928
363,-3.176889021112005,-1.4269008533314778
364,0.05331278982537986,1.9563833365618748
365,-2.7707392645256377,-0.6272139777873182
366,-1.966282025706434,-0.38535374227572616
367,-2.8658206767660848,-0.11464935605096427
368,-2.823610433176583,-1.6835523924227287
369,-1.3934215482236376,0.4575470618702422
370,-0.660982816530112,1.1913455367006942
371,0.54506789529608,1.6759731840951513
372,-0.16778663071102837,1.3500571460991408
373,-1.1661617886445153,0.3553740866291475
374,-0.08046002677989428,1.0615699114229948
375,-1.4533774684857188,-0.38895417982586344
376,-2.3429903708391464,-0.9815158315338715
377,-0.28874031398339356,0.8525840548429401
378,-0.13868685374120215,1.234496681637143
379,0.1470968406166908,1.6240822676792102
380,0.6361808091888405,1.7905897951397511
381,0.4530271188442227,1.5028138586592272
382,0.3363522587768785,0.8812066865783778
383,-0.6976592301706992,0.2327275052841885
384,-0.5431445586309909,0.42554929319758455
385,-0.7360245522196436,0.5353951132168462
386,0.9831558640145913,2.2478854425720414
387,0.7127000409845192,1.878617893285344
388,-0.68543382678004,1.3256549953686612
389,-1.8755316664944186,-0.9771623259917399
390,-2.2904926789109696,-0.16154193435446554
391,-1.4295314267187187,0.1314251828069921
392,-0.8479345173878369,1.3329231507062418
393,-1.363657120576922,0.7727144255476981
394,-1.776122036331503,-0.15253069490938004
395,-2.5546444932294707,0.3317840254349802
396,-2.7474555936344243,-1.2562515869335489
397,-3.195061314908384,-1.8176788108798352
398,-2.8505149316147076,-1.5613026670190144
399,-3.0438625909984593,-1.7752136898978663
400,-1.38564382714087,1.0363412665935785
401,-1.5918880538142761,0.4770088541515841
402,-1.6242891024638129,0.8145657845006837
403,-0.4562705384800543,1.4179097458818741
404,-0.35664932346307343,1.4387158501797668
405,0.16485484192470354,1.6222935228530815
406,-0.27641036064210917,1.3207118952478913
407,-1.614833071174617,1.1132670741921946
408,0.46326948500922127,2.1167257008482068
409,0.7647715554903862,2.3595831844339314
410,-0.04792760841788754,1.7439675726829003
411,-0.6552043773567874,1.527345508619882
412,0.9598550948532721,2.493647003230638
413,-0.012610644014376227,2.039086307582659
414,-1.85599253965287,0.24753642905103299
415,-1.8926041655181831,-0.23046543955240156
416,-2.1291321298567096,-0.6058925439426461
417,-0.8331723578568901,-1.2322829377808728
418,-2.9925196122055464,-1.538915943723287
419,-1.2972997088435652,0.12759635374692987
420,-1.5295379538724183,0.6433720004129406
421,0.7107710514773347,2.2902267691467104
422,-1.607883551721408,0.2586505448291761
423,-2.6962865687068183,-0.6800682296725977
424,-3.1770390580135204,-0.21154907734610048
425,-3.2665948688443347,-0.8316939225025376
426,-2.2607502304288825,-0.9674008923864142
427,-1.8543071188591342,0.5562225548963964
428,-2.3492210633063326,-0.8392499295988897
429,-1.2110992588091691,0.5447989439739926
430,-1.7098003482292061,-0.8333732911007027
431,-2.647930159403378,-0.3351889997147566
432,-1.5650066267690206,0.6444029339338017
433,-2.252330102313223,0.008799435485575546
434,-1.830348628008991,0.28746144999253287
435,-0.8820255712433135,0.6711375765153479
436,-1.5713940422205726,-0.1281733163788792
437,-0.6674076019640045,0.5397979578983586
438,-1.4124932345334105,-0.16458892282218018
439,1.9671783330342065,2.875923537562683
440,-1.2691653880158702,1.1107210837750239
441,-2.668480515128345,-0.6095075879182541
442,-2.6134954320958848,-1.648616044277104
443,-2.493187015070669,0.19177057233293943
444,2.0195148655941053,2.9193172692301297
445,-0.9999936207909571,0.5009783313807119
446,-0.8091076817992764,1.2989706889139
447,-0.14858792534828996,1.129754760946989
448,-0.7160851416203005,1.3852220743463939
449,0.05198078528005033,0.9977338426529453
450,-1.6005613884675125,0.26483823934405754
451,1.0094733426747504,0.9874252840114399
452,-0.6960829404895748,1.0604407552947837
453,-3.3291060326525046,-0.6935460576981314
454,-2.439909593976195,0.16993711134314882
455,-0.6653659755691815,1.6360002651257584
456,-1.4477362350014513,0.6386185992262948
457,-0.5557255507035047,1.821770802193584
458,-2.2032834267588783,-0.7452723486099223
459,-2.365052030496699,-0.9039344929184806
460,-2.878979425340814,0.13252144138933428
461,-1.9793348216399227,0.44027103361511566
462,-3.0873956616706604,-0.5494230990583016
463,-3.1153360166678037,-0.2558165376344876
464,-4.113010686172565,-1.6900239392842635
465,-3.443638645606901,-0.8591717199575901
466,-1.4047830615842158,1.0984262808258933
467,-0.5812479134455657,1.1992747025031925
468,-0.669633238027125,1.6063577510769975
469,-1.9111454958176517,-0.5871957309042264
470,-0.7433252721275698,0.7779241044079529
471,0.8416327832606901,1.1718331508931565
472,-0.378699398134396,0.8172802043868597
473,-0.18554505358076054,1.95166530754439
474,2.7616119656477873,2.0678355081815556
475,-0.40647010642544723,1.7695078720961444
476,1.8087506884199562,2.7277736216703365
477,0.6830160319858157,2.0531348045837876
478,1.321676775043948,2.6803078958059317
479,1.1683604362256141,1.9425061178401357
480,1.5728814686805175,1.8220253817679388
481,-0.18353832891220465,1.2628537284899255
482,0.757605686604706,1.526961303954742
483,-0.28519494034486265,0.0786334561782663
484,-0.9160258312267414,0.22937478042324533
485,-2.354345980908073,-1.1755460738035204
486,0.5243265881555044,0.9431503408020925
487,-0.808926029121507,-0.21309085277606474
488,0.8248112383697079,1.5715807645792919
489,-2.4563644566634784,-0.08536662812511112
490,1.8389518169174355,2.644882646600794
491,1.4344482906714227,2.5867511371900167
492,2.516525657329189,2.923487058273792
493,-0.1057870127389905,0.9608222096623132
494,2.529677242223692,3.9784541244242426
495,2.0017590195678667,2.446861418913767
496,0.06430315676713871,1.2937894935381433
497,-2.2214173559147246,-0.1363415853638335
498,-0.9702669490782475,0.5555570818330231
499,-0.001541438913433807,1.4013747140064736
500,-0.1427858331904691,1.7431250781836372
501,1.39219609473486,2.786279790598687
502,0.24425610779674586,1.0682797727140403
503,1.939626895446479,3.009510860779217
504,1.7597789067380762,3.513602960185437
505,2.9874034441834754,4.3316152479745735
506,2.5844100952462963,3.283149997923719
507,1.1761294272824345,2.896012682486608
508,0.04930045111671293,1.7174357310865764
509,0.9450270949742369,3.3482649009103267
510,0.16803070938529727,1.9612437588951708
511,-0.6586844719252264,0.790075689752457
512,-1.21828852113692,0.6772969924195911
513,-1.217560583772659,-0.07082953435851239
514,-1.8446885718569193,0.3865356400002457
515,0.33308463997162346,1.7480563883432463
516,0.9525395037181056,1.4435718884746338
517,1.6808432724170264,2.6995849905144733
518,1.3980900336837085,3.6352825635016477
519,2.608289871633464,4.0216131785550475
520,2.356044575592984,2.313910068941657
521,2.352854492235129,3.138295337185028
522,0.7108447311238917,2.0861557934782455
523,-1.202618761656195,0.43604465146234667
524,-0.09358673638020965,1.8803887227516571
525,-0.3212266071726928,1.4887429175780817
526,0.25658674163661127,0.9779477271482054
527,1.3777024727306364,2.6419155011169635
528,1.2072491806914978,2.5266072058780153
529,1.9741264575954298,2.8655672711471225
530,1.56671507289407,3.0104576599514488
531,1.747069502275514,2.908691560721895
532,-0.6100424619416751,1.6430861386536
533,0.44103168312331126,1.6500783203937357
534,1.1666029318448787,2.6330230799318484
535,0.5264454647342024,1.9676849709934716
536,2.871417917138709,3.908343901370334
537,2.2321794722913664,2.459548006662983
538,-0.1924229686920398,1.3297161316187722
539,0.6665596477639062,2.242747569065269
540,1.0287824665007557,2.1042847836132115
541,0.9980478399270347,2.1654988738101486
542,-0.027048593196181137,1.6869281069313542
543,-0.12954379677413108,0.7690768867314068
544,0.8296522979566586,2.0028178563987735
545,0.9406309406853026,2.3317412859152737
546,1.211503693117714,2.710238703095511
547,1.512171031855173,2.5901030078088105
548,0.9109009069938606,1.8336828988589655
549,-0.014470844485915013,1.5379748630169834
550,0.3563307085489134,2.202105947796428
551,1.6296987010623487,2.297502776362319
552,-0.1150350997879761,1.080103253639456
553,0.5922922503003194,1.3040461492069382
554,0.9442910777961,2.0394160057956077
555,0.3839970328611999,1.5884013183595858
556,-0.796807702724121,0.4465231192021797
557,-0.5762450292514182,0.1576404466488678
558,0.3498609949798505,1.5427758625235817
559,-1.246176158541734,0.36971378304397107
560,-0.6004519885988127,0.3087977452791281
561,-0.1157789675982675,1.0485677446467316
562,1.5574436737796156,2.5746406395736487
563,1.5143866750255262,2.8436127159247957
564,0.5320483744218676,1.6016303419185876
565,-0.5399572555542372,1.337974753661755
566,0.9478906809775235,2.1348192623756845
567,1.362042375025256,2.4080478771157434
568,1.9928294811941378,2.939984379009058
569,2.4739864162594296,3.485888024725833
570,0.9526603162235362,2.822119840478024
571,1.0447224576775564,2.982265288337174
572,3.8627532354843455,4.0377927154214275
573,1.3994248082317169,3.144940575446757
574,1.7013450116094524,3.068859759088337
575,2.740785094148474,4.0520958603229005
576,2.292951211097934,3.5109289240003005
577,1.5205558396499859,2.934715848529463
578,-0.47090663347513273,2.2333557539687527
579,-0.5791839213933159,0.4409501437952301
580,-1.8604003864332046,-0.8479938376768077
581,1.4835807636269778,2.882762628968996
582,0.5905979526190824,2.473386227302267
583,2.1438809710709346,3.471059973401014
584,1.4482262382048854,3.4530965015261197
585,3.5600760836941725,4.611656869784489
586,3.0200663450038987,4.745013902299174
588,3.657466767815985,4.296464829196799
589,3.93695767477201,4.541747721099685
590,3.0163827662239884,3.867910352968188
591,4.243057626278399,5.011384162700684
592,3.269223620637562,3.9647993523332103
593,3.5421480271218595,3.805733760322848
594,4.608493622094722,4.933326284255762
595,5.156972919720624,5.255297686425511
596,3.97358185174934,3.9332128868682426
597,4.800310544337289,5.098794191010724
598,4.533828728945897,5.019184490339587
599,4.420881775342236,4.844987882194541
600,4.429360507197706,5.007800475651659
601,4.10491249343317,4.727980389316893
602,3.0788941332907958,3.4405032336693373
603,4.216912796940604,5.005822024117218
604,3.1126525643925738,3.4026696267138608
605,2.559967944501137,3.118440634757852
606,1.162612251600854,2.561404698529616
607,1.1360522478167492,1.9810865616573563
608,2.1299488997464064,2.5981415329833886
609,2.275483501855408,3.4726268822126
610,2.2982572005559745,3.4160689464955474
611,2.834974919453742,3.828152810710283
612,1.4302566640601162,2.3739208183186467
613,2.115070176907173,2.5964105430544917
614,2.407673831267926,2.922621476650305
615,1.814439717768964,2.350970573218357
616,0.9138733774862194,1.792255121990864
617,1.6384642850121112,2.5480768215521983
618,1.8777307537895869,3.0163649355001816
619,2.0108917479812565,3.1395355547514483
620,1.7670230424451936,3.3250152478868094
621,1.356048106143116,2.0389580505297107
622,1.990066103561642,3.492867381981571
623,2.1947018889071526,3.603812874933819
624,1.3738456893155644,3.3910685484432523
625,1.1921873644782448,2.8752545793053854
626,1.5439317243161903,3.1808770423266943
627,2.1023259033091155,3.7734467808065912
628,2.0177201798329927,3.4598541764483888
629,4.038772952232316,4.7762882669053495
630,1.478880018140519,2.9716006226835585
631,1.5960085140786324,2.967164805444384
632,2.602482102101993,3.7048072420390543
633,2.3188342773012547,3.603513565959164
634,2.6198334411093187,3.2371074844096324
635,3.1108902902675486,4.181098759144915
636,5.131803768363508,5.305030261841047
637,3.11176225617535,3.5770941724345175
638,1.9703930998113564,2.6303575448073975
639,0.35263350787944725,1.9731999450216522
640,2.914520574015625,3.299561592497364
587,3.0624298405945503,4.268605266333874
55,3.44163929726394,3.5209191812336034
